ICAO,Station Name, State, Latitude, Longitude, Altitude, Winds Aloft,Surface TempC, Surface Humidity, WindDir, WindSp, WindTemp
HSGF,Springfield-Branson National,MO,37-14N,93-23W,386,SGF 1515 2207+14 9900+07 1808+03 2317-12 2719-21 262136 253346 244259,,,260,21,-36
KSHV,Shreveport Regional Airport,LA,32-27N,93-50W,79,SHV 1913 1712+12 2111+11 2112+05 2021-10 2525-19 252935 244445 245059,,,250,29,-35
,,,,,,SIY      3608+10 3107+06 2810+01 2928-12 3145-24 326540 328450 328060,,,320,65,-40
KSLC,Salt Lake City International  Airport,UT,40-47N,111-58W,1288,SLC      9900    0512+10 0320+02 0419-14 0512-25 071142 131853 121961,,,070,11,-42
,,,,,,SLN 1625 1917+14 1914+07 1721+00 1709-11 2211-21 232338 213448 224260,,,230,23,-38
,,,,,,SPI 1309 9900+09 9900+07 9900+02 3013-11 3126-22 314138 295948 287060,,,310,41,-38
KSPS,Wichita Falls Sheppard Afb,TX,33-59N,98-30W,309,SPS 1923 2020+14 2312+09 2507+03 2916-10 2612-21 212237 212748 223760,,,210,22,-37
HSSM,San Miguel / El Papalon,,,,,SSM 3313 3506+06 3109-01 3320-05 3541-17 3453-29 345045 335354 335359,,,340,50,-45
KSTL,Lambert-St Louis International  Airport,MO,38-45N,90-22W,184,STL 1109 9900+12 2908+07 2809+03 2809-11 3021-22 303137 284347 286259,,,300,31,-37
KSYR,Syracuse Hancock International  Airport,NY,43-07N,76-06W,125,SYR 3521 0119+04 0119-02 0116-06 3514-19 3516-33 331649 322456 322750,,,330,16,-49
,,,,,,T01 1516 1817+15 1914+10 1909+06 2513-07 2612-19 253234 264444 277555,,,250,32,-34
,,,,,,T06 1609 1613+16 1719+09 1819+03 2011-06 2615-19 272434 272644 295655,,,270,24,-34
,,,,,,T07 9900 1408+17 1412+11 1715+04 9900-07 2409-19 292234 302845 304557,,,290,22,-34
LTCC,Chiang Mai,,,,,TCC      1611    1811+10 1812+03 2225-11 2239-22 223739 224549 214760,,,220,37,-39
KTLH,Tallahassee Regional Airport,FL,30-24N,84-21W,25,TLH 3309 9900+19 3205+12 2607+05 2616-10 2920-21 321836 322146 325557,,,320,18,-36
,,,,,,TRI      3116+10 3128+07 3128+02 3135-11 3043-24 306739 318449 319760,,,300,67,-39
ETUL,Tulsa International Airport,OK,36-12N,95-53W,206,TUL 1817 1920+13 1916+07 1712+02 2317-10 2421-21 242637 233147 223859,,,240,26,-37
VTUS,Tucson International Airport,AZ,32-08N,110-57W,805,TUS      3012+14 3206+05 1608-02 2031-17 2150-29 218540 228448 225452,,,210,85,-40
,,,,,,TVC 3610 3612+06 3515+01 3517-04 3636-16 3439-28 335744 335953 335759,,,330,57,-44
KTYS,Mcghee Tyson Airport,TN,35-49N,083-59W,299,TYS 0612 3017+12 3123+07 3121+02 3027-11 3043-22 304938 327347 308260,,,300,49,-38
,,,,,,WJF      3229+15 3512+09 3617+01 0136-14 3645-26 366041 367251 356360,,,360,60,-41
KYKM,Yakima Air Terminal,WA,46-34N,120-32W,334,YKM 3013 2813+07 2215+02 2419-02 2719-16 2718-27 262742 272951 272658,,,260,27,-42
,,,,,,ZUN              0909+08 1409+00 1944-17 1952-30 208042 208650 204953,,,200,80,-42
,,,,,,2XG 2606 3307+17 3313+12 3013+05 3028-13 3134-22 292237 313147 334859,,,290,22,-37
,,,,,,4J3 0607 9900+19 0906+12 9900+05 9900-09 3108-20 331936 332644 324157,,,330,19,-36
